name,start_date,end_date,is_active,,,,,
New Year's Day,1/1/2026,1/1/2026,TRUE,,,,,
Australia Day,1/26/2026,1/26/2026,TRUE,,,,,
Good Friday,4/3/2026,4/3/2026,TRUE,,,,,
Easter Saturday,4/4/2026,4/4/2026,TRUE,,,,,
Easter Sunday,4/5/2026,4/5/2026,TRUE,,,,,
Easter Monday,4/6/2026,4/6/2026,TRUE,,,,,
Anzac Day,4/25/2026,4/25/2026,TRUE,,,,,
Christmas Day,12/25/2026,12/25/2026,TRUE,,,,,
Boxing Day,12/26/2026,12/26/2026,TRUE,,,,,
Boxing Day observed,12/28/2026,12/28/2026,TRUE,,,,,
Devonport Cup (TAS),1/7/2026,1/7/2026,TRUE,,,,,
Royal Hobart Regatta (TAS),2/1/2026,2/1/2026,TRUE,,,,,
Chinese New Year Day 1 (Christmas Island),2/17/2026,2/17/2026,TRUE,,,,,
Chinese New Year Day 2 (Christmas Island),2/18/2026,2/18/2026,TRUE,,,,,
Launceston Cup (TAS),2/25/2026,2/25/2026,TRUE,,,,,
Labour Day (WA),3/2/2026,3/2/2026,TRUE,,,,,
King Island Show (TAS),3/3/2026,3/3/2026,TRUE,,,,,
Foundation Day (Norfolk Island),3/6/2026,3/6/2026,TRUE,,,,,
Canberra Day (ACT),3/9/2026,3/9/2026,TRUE,,,,,
Adelaide Cup Day (SA),3/9/2026,3/9/2026,TRUE,,,,,
Eight Hours Day (TAS),3/9/2026,3/9/2026,TRUE,,,,,
Labour Day (VIC),3/9/2026,3/9/2026,TRUE,,,,,
Hari Raya Puasa (Christmas & Cocos Islands),3/20/2026,3/20/2026,TRUE,,,,,
Labour Day (Christmas Island),3/23/2026,3/23/2026,TRUE,,,,,
Easter Tuesday (TAS),4/7/2026,4/7/2026,TRUE,,,,,
Act of Self Determination Day (Cocos Islands),4/7/2026,4/7/2026,TRUE,,,,,
May Day (NT),5/4/2026,5/4/2026,TRUE,,,,,
Labour Day (QLD),5/4/2026,5/4/2026,TRUE,,,,,
AGFEST (TAS),5/8/2026,5/8/2026,TRUE,,,,,
Hari Raya Haji (Christmas & Cocos Islands),5/27/2026,5/27/2026,TRUE,,,,,
Reconciliation Day (ACT),6/1/2026,6/1/2026,TRUE,,,,,
Western Australia Day (WA),6/1/2026,6/1/2026,TRUE,,,,,
King's Birthday (ACT,6/1/2026,6/1/2026, SA, TAS, VIC),6/8/2026,6/8/2026,TRUE
Bounty Day (Norfolk Island),6/8/2026,6/8/2026,TRUE,,,,,
Alice Springs Show Day (NT),7/3/2026,7/3/2026,TRUE,,,,,
Tennant Creek Show Day (NT),7/10/2026,7/10/2026,TRUE,,,,,
Katherine Show Day (NT),7/17/2026,7/17/2026,TRUE,,,,,
Darwin Show Day (NT),7/24/2026,7/24/2026,TRUE,,,,,
Picnic Day (NT),8/3/2026,8/3/2026,TRUE,,,,,
Royal Queensland Show (Brisbane,6/1/2026,8/12/2026,8/12/2026,TRUE,,,,
Borroloola Show Day (NT),8/21/2026,8/21/2026,TRUE,,,,,
Hari Maulaud Nabi (Cocos Islands),8/26/2026,8/26/2026,TRUE,,,,,
King's Birthday (WA),9/28/2026,9/28/2026,TRUE,,,,,
Burnie Show (TAS),10/2/2026,10/2/2026,TRUE,,,,,
Labour Day (ACT,6/1/2026,6/1/2026,10/5/2026,10/5/2026,TRUE,,,
King's Birthday (QLD),10/5/2026,10/5/2026,TRUE,,,,,
Territory Day (Christmas Island),10/5/2026,10/5/2026,TRUE,,,,,
Royal Launceston Show (TAS),10/8/2026,10/8/2026,TRUE,,,,,
Flinders Island Show (TAS),10/16/2026,10/16/2026,TRUE,,,,,
Royal Hobart Show (TAS),10/22/2026,10/22/2026,TRUE,,,,,
Recreation Day (TAS),11/2/2026,11/2/2026,TRUE,,,,,
Melbourne Cup Day (VIC),11/3/2026,11/3/2026,TRUE,,,,,
