name,start_date,end_date,is_active
Prithvi Jayanti / National Unity Day,2026-01-11,2026-01-11,True
Maghe Sankranti / Maghi,2026-01-15,2026-01-15,True
Sonam Lhosar,2026-01-19,2026-01-19,True
Martyrs' Day,2026-01-30,2026-01-30,True
Maha Shivaratri,2026-02-15,2026-02-15,True
National Democracy Day,2026-02-19,2026-02-19,True
Fagu Purnima / Holi (Hilly Region),2026-03-02,2026-03-02,True
Fagu Purnima / Holi (Terai Region),2026-03-03,2026-03-03,True
International Women's Day,2026-03-08,2026-03-08,True
Ghode Jatra,2026-03-18,2026-03-18,True
Ram Navami,2026-03-27,2026-03-27,True
Navavarsha / Nepali New Year (Baisakh 1),2026-04-14,2026-04-14,True
International Labour Day / Buddha Jayanti,2026-05-01,2026-05-01,True
Bakrid / Eid al-Adha,2026-05-28,2026-05-28,True
Republic Day,2026-05-29,2026-05-29,True
Shree Krishna Janmashtami / Gaura Parva,2026-09-04,2026-09-04,True
Gen Z Martyrs' Day,2026-09-08,2026-09-08,True
Haritalika Teej,2026-09-14,2026-09-14,True
Constitution Day,2026-09-19,2026-09-19,True
Indra Jatra,2026-09-25,2026-09-25,True
Dashain (Ghatasthapana),2026-10-11,2026-10-11,True
Dashain Holidays (Fulpati to Dwadashi),2026-10-17,2026-10-23,True
Tihar Holidays (Laxmi Puja to Bhai Tika),2026-11-08,2026-11-12,True
Chhath Parva,2026-11-15,2026-11-15,True
Guru Nanak Jayanti,2026-11-24,2026-11-24,True
Udhauli Parva / Yomari Punhi,2026-12-24,2026-12-24,True
Christmas Day,2026-12-25,2026-12-25,True
Tamu Lhosar,2026-12-30,2026-12-30,True
